302,M14,1pg,washington
303,M15,10pg,washington
304,M16,Cat+MAG,washington
305,M17,Cat-MAG,washington
306,M18,Dog+MAG,washington
307,M19,100fg,wolf
308,M20,1pg,wolf
309,M21,10pg,wolf
310,M22,Cat+MAG,wolf
311,M23,Cat-MAG,wolf
312,M24,Dog+MAG,wolf
313,N1,100fg,tiger
314,N2,1pg,tiger
315,N3,10pg,tiger
316,N4,Dog-MAG,tiger
317,N5,18+,tiger
318,N6,18-,tiger
319,N7,100fg,tree
320,N8,1pg,tree
321,N9,10pg,tree
322,N10,Dog-MAG,tree
323,N11,18+,tree
324,N12,18-,tree
325,N13,100fg,washington
326,N14,1pg,washington
327,N15,10pg,washington
328,N16,Dog-MAG,washington
329,N17,18+,washington
330,N18,18-,washington
331,N19,100fg,wolf
332,N20,1pg,wolf
333,N21,10pg,wolf
334,N22,Dog-MAG,wolf
335,N23,18+,wolf
336,N24,18-,wolf
337,O1,100fg,tiger
338,O2,1pg,tiger
339,O3,10pg,tiger
340,O4,OR+,tiger
341,O5,OR-,tiger
342,O6,Blank2,tiger
343,O7,100fg,tree
344,O8,1pg,tree
345,O9,10pg,tree
346,O10,OR+,tree
347,O11,OR-,tree
348,O12,Blank2,tree
349,O13,100fg,washington
350,O14,1pg,washington
351,O15,10pg,washington
352,O16,OR+,washington
353,O17,OR-,washington
354,O18,Blank2,washington
355,O19,100fg,wolf
356,O20,1pg,wolf
357,O21,10pg,wolf
358,O22,OR+,wolf
359,O23,OR-,wolf
360,O24,Blank2,wolf
361,P1,,
362,P2,,
363,P3,,
364,P4,,
365,P5,,
366,P6,,
367,P7,,
368,P8,,
369,P9,,
370,P10,,
371,P11,,
372,P12,,
373,P13,,
374,P14,,
375,P15,,
376,P16,,
377,P17,,
378,P18,,
379,P19,,
380,P20,,
381,P21,,
382,P22,,
383,P23,,
384,P24,,
