Block Type,384-Well Block,,,,,,
Calibration Background is expired,Yes,,,,,,
Calibration Background performed on,05-01-2018,,,,,,
Calibration Normalization FAM-ROX is expired,Yes,,,,,,
Calibration Normalization FAM-ROX performed on,05-01-2018,,,,,,
Calibration Normalization VIC-ROX is expired,Yes,,,,,,
Calibration Normalization VIC-ROX performed on,05-01-2018,,,,,,
Calibration Pure Dye FAM is expired,Yes,,,,,,
Calibration Pure Dye FAM performed on,05-01-2018,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,
Calibration Pure Dye NED performed on,05-01-2018,,,,,,
Calibration Pure Dye ROX is expired,Yes,,,,,,
Calibration Pure Dye ROX performed on,05-01-2018,,,,,,
Calibration Pure Dye SYBR is expired,Yes,,,,,,
Calibration Pure Dye SYBR performed on,05-01-2018,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,
Calibration Pure Dye TAMRA performed on,05-01-2018,,,,,,
Calibration Pure Dye VIC is expired,Yes,,,,,,
Calibration Pure Dye VIC performed on,05-01-2018,,,,,,
261,K21,10pg,sailboat,13.068,87.665,,
262,K22,Dog-MAG,sailboat,27.981,72.940,,
263,K23,18+,sailboat,25.224,87.665,71.099,
264,K24,18-,sailboat,27.744,72.677,,
265,L1,100fg,House,18.505,84.641,76.227,
266,L2,1pg,House,16.020,84.641,,
267,L3,10pg,House,13.149,84.641,,
268,L4,OR+,House,19.045,77.279,,
269,L5,OR-,House,19.423,77.410,,
270,L6,Blank2,House,19.463,77.279,,
271,L7,100fg,Lincoln,19.432,87.402,,
272,L8,1pg,Lincoln,15.422,87.533,,
273,L9,10pg,Lincoln,12.278,87.533,,
274,L10,OR+,Lincoln,23.868,74.912,87.665,84.509
275,L11,OR-,Lincoln,23.777,75.044,87.665,84.641
276,L12,Blank2,Lincoln,24.603,75.569,,
277,L13,100fg,lion,21.447,85.561,,
278,L14,1pg,lion,29.416,78.725,,
279,L15,10pg,lion,14.348,85.561,,
280,L16,OR+,lion,28.866,85.561,,
281,L17,OR-,lion,29.586,77.936,,
282,L18,Blank2,lion,29.618,78.988,,
283,L19,100fg,sailboat,19.980,87.533,,
284,L20,1pg,sailboat,26.960,72.809,,
285,L21,10pg,sailboat,13.110,87.533,,
286,L22,OR+,sailboat,25.881,72.677,,
287,L23,OR-,sailboat,25.728,72.546,,
288,L24,Blank2,sailboat,29.027,74.255,,
289,M1,100fg,tiger,18.848,85.167,,
290,M2,1pg,tiger,15.841,85.298,,
291,M3,10pg,tiger,12.699,85.298,,
292,M4,Cat+MAG,tiger,19.027,85.167,,
293,M5,Cat-MAG,tiger,19.979,84.904,,
294,M6,Dog+MAG,tiger,19.424,85.167,,
295,M7,100fg,tree,Undetermined,75.569,,
296,M8,1pg,tree,Undetermined,83.721,75.569,
297,M9,10pg,tree,33.169,83.458,,
298,M10,Cat+MAG,tree,Undetermined,60.845,,
299,M11,Cat-MAG,tree,Undetermined,75.701,61.239,
300,M12,Dog+MAG,tree,Undetermined,75.438,,
301,M13,100fg,washington,18.354,83.458,,
302,M14,1pg,washington,29.324,77.936,71.625,
303,M15,10pg,washington,11.619,83.458,,
304,M16,Cat+MAG,washington,26.247,83.458,,
305,M17,Cat-MAG,washington,28.299,83.589,,
306,M18,Dog+MAG,washington,26.689,83.326,,
307,M19,100fg,wolf,19.519,83.589,,
308,M20,1pg,wolf,27.945,83.721,79.382,72.546
309,M21,10pg,wolf,12.350,83.458,,
310,M22,Cat+MAG,wolf,9.899,83.326,,
311,M23,Cat-MAG,wolf,12.982,83.326,91.215,
312,M24,Dog+MAG,wolf,10.307,83.326,,
313,N1,100fg,tiger,18.924,85.167,,
314,N2,1pg,tiger,15.993,85.298,,
315,N3,10pg,tiger,12.857,85.298,,
316,N4,Dog-MAG,tiger,19.483,85.035,,
317,N5,18+,tiger,20.396,84.772,,
318,N6,18-,tiger,20.312,84.509,,
319,N7,100fg,tree,Undetermined,75.569,61.371,
320,N8,1pg,tree,12.288,83.589,75.175,
321,N9,10pg,tree,32.449,83.589,,
322,N10,Dog-MAG,tree,Undetermined,75.569,,
323,N11,18+,tree,Undetermined,75.701,61.239,
324,N12,18-,tree,Undetermined,75.438,,
325,N13,100fg,washington,18.501,83.458,,
326,N14,1pg,washington,29.600,78.067,71.888,
327,N15,10pg,washington,11.783,83.458,,
328,N16,Dog-MAG,washington,26.675,83.458,,
329,N17,18+,washington,19.724,83.589,,
330,N18,18-,washington,29.450,78.199,71.757,
331,N19,100fg,wolf,19.668,83.589,,
332,N20,1pg,wolf,27.520,79.645,83.589,73.334
333,N21,10pg,wolf,12.325,83.458,,
334,N22,Dog-MAG,wolf,10.452,83.195,90.689,
335,N23,18+,wolf,27.098,83.721,79.119,
336,N24,18-,wolf,27.833,83.589,79.382,72.546
337,O1,100fg,tiger,18.835,85.167,,
338,O2,1pg,tiger,15.836,85.298,,
339,O3,10pg,tiger,12.950,85.298,,
340,O4,OR+,tiger,22.506,84.509,,
341,O5,OR-,tiger,20.532,84.509,,
342,O6,Blank2,tiger,20.351,84.378,,
343,O7,100fg,tree,Undetermined,75.307,,
344,O8,1pg,tree,42.574,83.589,75.701,
345,O9,10pg,tree,32.722,83.589,,
346,O10,OR+,tree,Undetermined,75.438,,
347,O11,OR-,tree,Undetermined,75.569,61.371,
348,O12,Blank2,tree,Undetermined,75.307,,
349,O13,100fg,washington,18.315,83.458,,
350,O14,1pg,washington,29.277,78.199,71.888,
351,O15,10pg,washington,12.228,83.458,,
352,O16,OR+,washington,26.986,83.589,,
353,O17,OR-,washington,25.613,83.458,,
354,O18,Blank2,washington,29.361,77.804,72.283,
355,O19,100fg,wolf,19.425,83.589,,
356,O20,1pg,wolf,26.890,79.119,83.589,
357,O21,10pg,wolf,12.638,83.326,,
358,O22,OR+,wolf,27.265,79.777,,
359,O23,OR-,wolf,27.613,83.721,79.382,
360,O24,Blank2,wolf,27.311,79.645,,
